id,name,node1,node2
132978321971137853122683109,Virginia Road,1971137853,122683109
132978321226831097844877204,Virginia Road,122683109,7844877204
132978327844877204122683112,Virginia Road,7844877204,122683112
132978841226836552243418494,East Valleyview Drive,122683655,2243418494
1329788422434184949949857709,East Valleyview Drive,2243418494,9949857709
1329788499498577091398233782,East Valleyview Drive,9949857709,1398233782
132982281226863161971137890,Old River Road,122686316,1971137890
1329822819711378902012875528,Old River Road,1971137890,2012875528
132982282012875528122686319,Old River Road,2012875528,122686319
132982281226863192012875540,Old River Road,122686319,2012875540
1329822820128755401971137914,Old River Road,2012875540,1971137914
1329822819711379141971137925,Old River Road,1971137914,1971137925
1329822819711379252012875588,Old River Road,1971137925,2012875588
1329822820128755881971137933,Old River Road,2012875588,1971137933
1329822819711379332012875597,Old River Road,1971137933,2012875597
1329822820128755971971137940,Old River Road,2012875597,1971137940
1329822819711379402012875603,Old River Road,1971137940,2012875603
132982282012875603122686322,Old River Road,2012875603,122686322
132982281226863222012875609,Old River Road,122686322,2012875609
1329822820128756091971137950,Old River Road,2012875609,1971137950
1329822819711379502012875615,Old River Road,1971137950,2012875615
1329822820128756151971137953,Old River Road,2012875615,1971137953
1329822819711379531971137960,Old River Road,1971137953,1971137960
1329822819711379607094773256,Old River Road,1971137960,7094773256
1329822870947732567094773254,Old River Road,7094773256,7094773254
1329822870947732547094773255,Old River Road,7094773254,7094773255
132982287094773255122686324,Old River Road,7094773255,122686324
132982281226863247094773252,Old River Road,122686324,7094773252
1329822870947732521971137966,Old River Road,7094773252,1971137966
1329822819711379667094773253,Old River Road,1971137966,7094773253
1329822870947732531971137970,Old River Road,7094773253,1971137970
1329822819711379707094773250,Old River Road,1971137970,7094773250
1329822870947732501971137975,Old River Road,7094773250,1971137975
1329822819711379757094773251,Old River Road,1971137975,7094773251
1329822870947732517094773246,Old River Road,7094773251,7094773246
132982287094773246122686327,Old River Road,7094773246,122686327
13298764122690613122690615,Hansen Avenue,122690613,122690615
13298764122690615122690617,Hansen Avenue,122690615,122690617
13298764122690617122690619,Hansen Avenue,122690617,122690619
13298764122690619122690620,Hansen Avenue,122690619,122690620
13299433122694744936942494,Edgecliff Drive,122694744,936942494
13299433936942494122628070,Edgecliff Drive,936942494,122628070
13299766122696522122696523,Oakwood Avenue,122696522,122696523
133004281227003101978765393,North Torrey Pine Drive,122700310,1978765393
133004281978765393122700313,North Torrey Pine Drive,1978765393,122700313
13300428122700313122700315,North Torrey Pine Drive,122700313,122700315
13300658122701711122701714,Smokewood Avenue,122701711,122701714
133006581227017147094843508,Smokewood Avenue,122701714,7094843508
1330065870948435087094843507,Smokewood Avenue,7094843508,7094843507
1330065870948435077094843509,Smokewood Avenue,7094843507,7094843509
1330065870948435091971138063,Smokewood Avenue,7094843509,1971138063
1330065819711380637094843506,Smokewood Avenue,1971138063,7094843506
1330065870948435067094843505,Smokewood Avenue,7094843506,7094843505
1330065870948435051971138074,Smokewood Avenue,7094843505,1971138074
1330065819711380747094843504,Smokewood Avenue,1971138074,7094843504
1330065870948435047094843510,Smokewood Avenue,7094843504,7094843510
1330065870948435101971138086,Smokewood Avenue,7094843510,1971138086
1330065819711380867094843511,Smokewood Avenue,1971138086,7094843511
133006587094843511122701719,Smokewood Avenue,7094843511,122701719
133006581227017197094843503,Smokewood Avenue,122701719,7094843503
1330065870948435031971138102,Smokewood Avenue,7094843503,1971138102
1330065819711381027094843502,Smokewood Avenue,1971138102,7094843502
1330065870948435021971138110,Smokewood Avenue,7094843502,1971138110
1330065819711381107094843501,Smokewood Avenue,1971138110,7094843501
1330065870948435017094843500,Smokewood Avenue,7094843501,7094843500
133006587094843500122701721,Smokewood Avenue,7094843500,122701721
133006581227017217094843499,Smokewood Avenue,122701721,7094843499
1330065870948434997094843498,Smokewood Avenue,7094843499,7094843498
1330065870948434981400655614,Smokewood Avenue,7094843498,1400655614
1330065814006556141971138137,Smokewood Avenue,1400655614,1971138137
1330065819711381377094843497,Smokewood Avenue,1971138137,7094843497
